cepet,cepat
amandan,aman dan
gman,bagaimana
apk,aplikasi
gw,saya
app,aplikasi
ngelag,melambat
yihaw,asik
gk,tidak
bales,balas
trs,terus
g,tidak
lg,lagi
udh,sudah
pake,pakai
gojekindonesia,gojek indonesia
d,di
terimaksi,terima kasih
byk,banyak
tf,transfer
bsa,bisa
memudahkqan,memudahkan
klo,kalau
tp,tapi
n,dan
hrs,harus
mantull,mantap betul
knp,kenapa
top markotop,luar biasa
moga,semoga
sebel,sebal
dateng,datang
gajelasss,tidak jelas
bagusss,bagus
lemottt,lambat
ngk,tidak
j,saja
kalo,kalau
seneng,senang
pokoke,pokok
gohek,gojek
bgtu,begitu
bsk,besok
ush,usah
banhet,banget
ajaa,saja
msuk,masuk
karna,karena
upgred,meningkatkan
simpell,simpel
ni,ini
nyender,bersandar
mo,mau
ga,tidak
iy,iya
blasss,banget
galagi,tidak lagi
nih,ini
sya,saya
dll,dan lain lain
playeter,bayar nanti
gimna,gimana
previkasai,verifikasi
bkl,bakal
wat,buat
dongk,dongke
kelaperan,kelaparan
promosisio,promosi
donk,dong
yg,yang
skrg,sekarang
ngeri,seram
lgi,lagi
sm,sama
dri,dari
pda,pada
dpt,dapat
jd,jadi
bgmnh,bagaimana
she,sih
manah,mana
apdeddd,memperbarui
jagan,jangan
ngadi,ada
jelasss,jelas
sanagat,sangat
samnya,sama
matursuwun,terima kasih
karenakn,karena
gt,gitu
dlu,dulu
otw,jalan
kog,kok
blom,belum
apgrede,meningkatkan
god,bagus
k,ke
poto,foto
jls,jelas
sblmnya,sebelum
pke,pakai
gpp,tidak apa apa
bgnt,banget
kmanapun,kemanapun
mazeee,mas
skrng,sekarang
ama,sama
dulu,dulu
tmbh,tambah
ad,ada
byr,bayar
gtu,gitu
ubah,rubah
apps,aplikasi
muterrrrr,memutar
teros,terus
gua,saya
kek,seperti
utang,hutang
helfull,membantu
plis,tolong
sia,kamu
mantul,mantap betul
nggak,tidak
kaga,tidak
parahh,parah
ajhh,saja
bosss,bos
tpi,tapi
narok,taruh
idup,hidup
tdi,tadi
pdhal,padahal
jdi,jadi
gajelas,tidak jelas
knpa,kenapa
ferifikasi,verifikasi
klarnya,selesai
kpan,kapan
mayan,lumayan
pokok e,pasti
kelar,selesai
apal,hapal
verpikasi,verifikasi
dech,deh
okeeeee,oke
tanggihan,tagihan
bungan,bunga
gue,saya
lamaaaa,lama
ngga,tidak
josssss,bagus
okk,oke
jauhhh,jauh
mantab,mantap
rek,rekening
gak,tidak
dipkai,dipakai
wadaw,waduh
nyiapin,siapkan
sii,si
gopaycicilnya,gopay cicil
sengn,seneng
dluuuu,dulu
aproval,diterima
setelh,setelah
terlallu,terlalu
okkk,oke
ntap,mantap
mntap,mantap
blum,belum
frofesional,profesional
limet,limit
bs,bisa
ajh,saja
tar,sebentar
terimaksih,terima kasih
pitur,fitur
trims,terima kasih
hadeh,aduh
ny,nya
kerem,keren
bagusddss,bagus
mager,malas
anj,anjing
inj,ini
dkit,sedikit
wew,wow
kofoookk,kapok
jujurly,jujur
blanja,belanja
buattt,buat
jadiii,jadi
loding,memuat
mantaps,mantap
dbtuhin,dibutuhkan
smg,semoga
apl,aplikasi
sgt,sangat
tetep,tetap
babbi,babi
cmn,cuman
clm,belum
mlh,malah
pdhl,padahal
bnr,benar
sruh,suruh
regist,registrasi
lupq,lupa
mantaaaaf,mantap
anyeb,kacau
it,itu
gg,bagus
tlp,telepon
iyhaa,iya
tidk,tidak
gagall,gagal
msih,masih
skrang,sekarang
knapa,kenapa
upgreud,meningkatkan
kg,tidak
jgn,jangan
suuuuuukkkkaaaaaaa,suka
mantulll,mantap betul
konya,kota
bangke,bangkai
kyknya,sepertinya
pnh,pernah
goooddddd,bagus
plyanan,pelayanan
trima,terima
apknya,aplikasi
tul,betul
mwngharuskan,mengharuskan
misl,misal
blockir,blokir
ut,untuk
taukkk,tau
tlpon,telepon
taikkk,tahi
manap,mantap
ktanya,kata
msh,masih
lh,lah
sistim,sistem
erorr,eror
mantapkeren,mantap
wlwpn,walaupun
bg,bang
kacou,kacau
mehong,mahal
gut,bagus
untk,untuk
kox,kok
gojeg,gojek
skr,sekarang
memvantu,membantu
klu,kalau
kreen,keren
tdak,tidak
bgttt,banget
mtp,mantap
sumka,suka
jlz,jelas
jempoll,jempol
pisan,banget
mantappp,mantap
krem,keren
bnyk,banyak
skk,sekarang
mnusia,manusia
mnusianya,manusia
drpd,daripada
piktif,fiktif
lumyn,lumayan
biyaya,biaya
skli,sekali
dhal,padahal
bagws,bagus
kdg,kadang
bingits,banget
tb,tiba
tdk,tidak
snagat,sangat
sanggat,sangat
buanget,banget
bgt,banget
hbs,habis
tlg,tolong
goblox,goblok
mlm,malam
dr,dari
slalu,selalu
ksih,kasih
rting,penilaian
mantaf,mantap
muahaalllll,mahal
thd,terhadap
dwsa,dewasa
mslh,masalah
mgndlkan,mengandalkan
smgt,semangat
bkrja,bekerja
sllu,selalu
mndptka,mendapatkan
donlot,unduh
q,aku
apgret,meningkatkan
bgs,bagus
aetengah,setengah
kyc,kayak
lumnyn,lumayan
tnyata,ternyata
pnjmputn,penjemputan
ilag,ilang
ataw,atau
episien,efisien
hrg,harga
krjsma,kerjasama
kk,kakak
stiap,setiap
sistimny,sistem
tmpat,tempat
pemsan,pemesanan
gilx,gila
jt,juta
thk,terima kasih
asa,ada
bgus,bagus
dikla,dikala
jlan,jalan
mantulllllll,mantap betul
bagussssa,bagus
bpk,bapak
bln,bulan
ngebles,balas
gx,tidak
mw,mau
dreferi,pengemudi
thx,terima kasih
terimksh,terima kasih
vocer,kupon
maf,maaf
tolg,tolong
fersi,versi
bener,benar
mantabs,mantap
sbg,sebagai
yepat,tepat
gmnsi,bagaimana
alamt,alamat
updet,memperbarui
spd,sepeda
pwrcaya,percaya
jkt,jakarta
terbaiq,terbaik
atw,atau
gud,bagus
sj,saja
trm,terima
ksh,kasih
klw,kalau
ekxtrem,ekstrem
ttp,tetap
mmgnya,memang
lbh,lebih
mmbntuu,membantu
bgud,bagus
lbih,lebih
ksini,kesini
trf,transfer
sblm,sebelum
a,nya
jafi,jadi
mhal,mahal
bagys,bagus
lahi,lagi
muantab,mantap
hdeh,aduh
draver,pengemudi
bnyakin,perbanyak
sking,saking
antr,antar
jmput,jemput
promosisia,promosi
lamat,alamat
sd,sudah
skali,sekali
bbrp,beberapa
